concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
2000000260	2000000257	Is a	1970-01-01	2099-12-31		
2000000261	2000000257	Is a	1970-01-01	2099-12-31		
2000000262	2000000257	Is a	1970-01-01	2099-12-31		
2000000263	2000000257	Is a	1970-01-01	2099-12-31		
2000000264	2000000257	Is a	1970-01-01	2099-12-31		
2000000265	2000000257	Is a	1970-01-01	2099-12-31		
2000000266	2000000257	Is a	1970-01-01	2099-12-31		
2000000267	2000000257	Is a	1970-01-01	2099-12-31		
2000000268	2000000257	Is a	1970-01-01	2099-12-31		
2000000269	2000000257	Is a	1970-01-01	2099-12-31		
2000000270	2000000257	Is a	1970-01-01	2099-12-31		
2000000271	2000000257	Is a	1970-01-01	2099-12-31		
2000000272	2000000257	Is a	1970-01-01	2099-12-31		
2000000273	2000000257	Is a	1970-01-01	2099-12-31		
2000000274	2000000257	Is a	1970-01-01	2099-12-31		
2000000275	2000000257	Is a	1970-01-01	2099-12-31		
2000000276	2000000257	Is a	1970-01-01	2099-12-31		
2000000277	2000000257	Is a	1970-01-01	2099-12-31		
2000000278	2000000257	Is a	1970-01-01	2099-12-31		
2000000279	2000000257	Is a	1970-01-01	2099-12-31		
2000000280	2000000257	Is a	1970-01-01	2099-12-31		
2000000281	2000000257	Is a	1970-01-01	2099-12-31		
2000000282	2000000257	Is a	1970-01-01	2099-12-31		
2000000283	2000000257	Is a	1970-01-01	2099-12-31		
2000000284	2000000257	Is a	1970-01-01	2099-12-31		
2000000285	2000000257	Is a	1970-01-01	2099-12-31		
2000000286	2000000257	Is a	1970-01-01	2099-12-31		
2000000287	2000000257	Is a	1970-01-01	2099-12-31		
2000000288	2000000257	Is a	1970-01-01	2099-12-31		
2000000289	2000000257	Is a	2005-11-15	2099-12-31		
2000000290	2000000257	Is a	2005-11-15	2099-12-31		
2000000257	2000000258	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000259	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000260	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000261	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000262	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000263	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000264	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000265	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000266	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000267	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000268	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000269	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000270	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000271	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000272	Subsumes	1970-01-01	2099-12-31		
